UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Failure,Failure_Probability,Risk Score,Decision,Expected Cost,Savings
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,0,0.0011386812987243108,0.11386812987243108,NO ACTION,5.693406493621554,0
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,0,0.0010389527875230469,0.10389527875230468,NO ACTION,5.194763937615234,0
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,0,0.004263746660958947,0.4263746660958947,NO ACTION,21.318733304794733,0
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,0,0.0004436028595255437,0.04436028595255437,NO ACTION,2.2180142976277186,0
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,0,0.0008726067390354665,0.08726067390354665,NO ACTION,4.363033695177332,0
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,0,0.0022829763295275306,0.22829763295275307,NO ACTION,11.414881647637653,0
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,0,0.001425256602134288,0.1425256602134288,NO ACTION,7.12628301067144,0
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,0,0.0022050159629625806,0.22050159629625807,NO ACTION,11.025079814812903,0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,0,0.0014421788550004302,0.14421788550004302,NO ACTION,7.2108942750021505,0
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,0,0.004784650296262544,0.47846502962625437,NO ACTION,23.923251481312718,0
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,0,0.0017160904829178314,0.17160904829178314,NO ACTION,8.580452414589157,0
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,0,0.00441710175833975,0.441710175833975,NO ACTION,22.08550879169875,0
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,0,0.0017175771193726995,0.17175771193726996,NO ACTION,8.587885596863497,0
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,0,0.012081653233440293,1.2081653233440293,NO ACTION,60.40826616720146,0
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,0,0.002733371915437518,0.2733371915437518,NO ACTION,13.666859577187589,0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,0,0.001694177938862651,0.1694177938862651,NO ACTION,8.470889694313255,0
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,0,0.021124546028618244,2.1124546028618245,NO ACTION,105.62273014309122,0
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,0,0.0040346582217735795,0.40346582217735794,NO ACTION,20.173291108867897,0
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,0,0.0016694944177175867,0.1669494417717587,NO ACTION,8.347472088587933,0
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,0,0.019750988279604163,1.9750988279604162,NO ACTION,98.75494139802082,0
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,0,0.02491981150414658,2.491981150414658,NO ACTION,124.5990575207329,0
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,0,0.004270900374015994,0.4270900374015994,NO ACTION,21.354501870079968,0
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,0,0.02032583299232869,2.032583299232869,NO ACTION,101.62916496164345,0
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,0,0.013185426248221098,1.31854262482211,NO ACTION,65.92713124110549,0
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,0,0.011147651293371771,1.1147651293371772,NO ACTION,55.73825646685886,0
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,0,0.03037584254457566,3.037584254457566,NO ACTION,151.8792127228783,0
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,0,0.057816544478808754,5.781654447880875,NO ACTION,289.08272239404374,0
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,0,0.005981971829915123,0.5981971829915123,NO ACTION,29.909859149575613,0
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,0,0.013352517813459893,1.3352517813459892,NO ACTION,66.76258906729946,0
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,0,0.09959106138671132,9.959106138671132,NO ACTION,497.95530693355664,0
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,0,0.007458839096187701,0.7458839096187702,NO ACTION,37.294195480938505,0
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,1,0.7151454560017823,71.51454560017822,IMMEDIATE ACTION,3575.7272800089113,5000
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,0,0.10890746680593114,10.890746680593114,NO ACTION,544.5373340296557,0
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,0,0.021608525883942284,2.1608525883942282,NO ACTION,108.04262941971142,0
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,0,0.004318340438981899,0.4318340438981899,NO ACTION,21.591702194909494,0
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,0,0.004727636362107756,0.47276363621077555,NO ACTION,23.63818181053878,0
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,0,0.01138333378169273,1.138333378169273,NO ACTION,56.91666890846365,0
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,0,0.012488617454236661,1.2488617454236661,NO ACTION,62.4430872711833,0
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,0,0.010881420644952584,1.0881420644952584,NO ACTION,54.40710322476292,0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,0,0.003440126499751594,0.3440126499751594,NO ACTION,17.20063249875797,0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,0,0.10771149048487855,10.771149048487855,NO ACTION,538.5574524243927,0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,0,0.08235193879515569,8.235193879515569,NO ACTION,411.7596939757785,0
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,0,0.01841223118581583,1.8412231185815828,NO ACTION,92.06115592907915,0
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,0,0.00435300328654126,0.435300328654126,NO ACTION,21.7650164327063,0
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,0,0.009058509968550442,0.9058509968550442,NO ACTION,45.29254984275221,0
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,0,0.011271172037910079,1.127117203791008,NO ACTION,56.3558601895504,0
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,0,0.015749812882292324,1.5749812882292324,NO ACTION,78.74906441146162,0
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,0,0.005167674071099839,0.5167674071099839,NO ACTION,25.838370355499197,0
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,0,0.02915473627159593,2.915473627159593,NO ACTION,145.77368135797965,0
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,0,0.002588078225827477,0.2588078225827477,NO ACTION,12.940391129137385,0
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,1,0.8659935981672602,86.59935981672602,IMMEDIATE ACTION,4329.9679908363005,5000
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,0,0.01674100364180598,1.674100364180598,NO ACTION,83.7050182090299,0
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,0,0.038351059199716105,3.8351059199716104,NO ACTION,191.75529599858052,0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,0,0.011618232188444242,1.1618232188444242,NO ACTION,58.09116094222121,0
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,0,0.012468565499932102,1.2468565499932103,NO ACTION,62.34282749966051,0
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,0,0.006859519597357734,0.6859519597357734,NO ACTION,34.29759798678867,0
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,0,0.028740309594450758,2.8740309594450757,NO ACTION,143.7015479722538,0
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,0,0.09709850101291251,9.70985010129125,NO ACTION,485.4925050645625,0
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,1,0.016582254276880596,1.6582254276880597,NO ACTION,82.91127138440298,0
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,0,0.009224046276637447,0.9224046276637446,NO ACTION,46.12023138318723,0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,0,0.00023966767697663295,0.023966767697663295,NO ACTION,1.1983383848831648,0
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,0,0.011697401320303856,1.1697401320303855,NO ACTION,58.48700660151928,0
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,0,0.0068222045721616385,0.6822204572161639,NO ACTION,34.11102286080819,0
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,0,0.0011597660962144548,0.11597660962144549,NO ACTION,5.798830481072274,0
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,0,0.0011692480289986586,0.11692480289986586,NO ACTION,5.846240144993293,0
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,0,0.005522560396108384,0.5522560396108384,NO ACTION,27.61280198054192,0
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,0,0.0014605420681541449,0.14605420681541448,NO ACTION,7.302710340770725,0
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,0,0.0024935520804939466,0.24935520804939465,NO ACTION,12.467760402469732,0
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,0,0.0003306255969413022,0.03306255969413022,NO ACTION,1.653127984706511,0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,0,0.0032160516954011583,0.3216051695401158,NO ACTION,16.080258477005792,0
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,0,0.0015361866758101211,0.1536186675810121,NO ACTION,7.680933379050606,0
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,0,0.0007735804989298255,0.07735804989298255,NO ACTION,3.8679024946491274,0
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,0,0.0014915300694779308,0.14915300694779307,NO ACTION,7.457650347389654,0
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,0,0.0008660566484483183,0.08660566484483183,NO ACTION,4.330283242241592,0
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,0,0.0032261379865667805,0.32261379865667805,NO ACTION,16.130689932833903,0
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,0,0.0011316907657261026,0.11316907657261026,NO ACTION,5.658453828630513,0
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,0,0.012531605550430383,1.2531605550430382,NO ACTION,62.658027752151916,0
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,0,0.001641602630504364,0.1641602630504364,NO ACTION,8.20801315252182,0
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,0,0.002874879075977778,0.2874879075977778,NO ACTION,14.374395379888892,0
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,0,0.0005695979101670973,0.056959791016709733,NO ACTION,2.8479895508354867,0
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,0,0.012322486821785382,1.2322486821785381,NO ACTION,61.612434108926905,0
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,0,0.002423647472270613,0.2423647472270613,NO ACTION,12.118237361353065,0
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,0,0.004076832687779431,0.40768326877794314,NO ACTION,20.384163438897158,0
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,0,0.006809604314734215,0.6809604314734214,NO ACTION,34.04802157367107,0
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,0,0.001863835527135721,0.1863835527135721,NO ACTION,9.319177635678605,0
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,0,0.005194428798904705,0.5194428798904704,NO ACTION,25.972143994523524,0
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,0,0.0009148517390366774,0.09148517390366774,NO ACTION,4.574258695183387,0
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,0,0.02063381850991031,2.063381850991031,NO ACTION,103.16909254955155,0
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,0,0.02193047398535769,2.193047398535769,NO ACTION,109.65236992678845,0
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,0,0.0021694262677790428,0.21694262677790427,NO ACTION,10.847131338895213,0
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,0,0.0021306426038947917,0.21306426038947918,NO ACTION,10.653213019473958,0
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,0,0.0027957619317457876,0.27957619317457877,NO ACTION,13.978809658728938,0
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,0,0.011855794205305794,1.1855794205305794,NO ACTION,59.27897102652897,0
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,0,0.00417484291159237,0.417484291159237,NO ACTION,20.87421455796185,0
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,0,0.00798017182010097,0.798017182010097,NO ACTION,39.900859100504846,0
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,0,0.002469808054223379,0.24698080542233788,NO ACTION,12.349040271116895,0
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,0,0.012852503743673546,1.2852503743673547,NO ACTION,64.26251871836773,0
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,0,0.002497741798313483,0.2497741798313483,NO ACTION,12.488708991567416,0
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,0,0.002849590924186321,0.2849590924186321,NO ACTION,14.247954620931607,0
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,0,0.0026133000342741467,0.2613300034274147,NO ACTION,13.066500171370734,0
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,0,0.005621899352929138,0.5621899352929138,NO ACTION,28.10949676464569,0
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,0,0.011471355145966481,1.1471355145966482,NO ACTION,57.35677572983241,0
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,0,0.01861025061984455,1.8610250619844548,NO ACTION,93.05125309922275,0
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,0,0.015243815826772408,1.5243815826772409,NO ACTION,76.21907913386204,0
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,0,0.03089679331278292,3.089679331278292,NO ACTION,154.4839665639146,0
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,0,0.0055026616259546916,0.5502661625954691,NO ACTION,27.513308129773456,0
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,0,0.0019937631842031314,0.19937631842031314,NO ACTION,9.968815921015658,0
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,0,0.2736031508680398,27.360315086803983,NO ACTION,1368.015754340199,0
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,0,0.019542550203246804,1.9542550203246805,NO ACTION,97.71275101623402,0
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,0,0.01814609001599718,1.814609001599718,NO ACTION,90.7304500799859,0
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,0,0.004256667851761399,0.4256667851761399,NO ACTION,21.283339258806993,0
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,0,0.010615085657447725,1.0615085657447725,NO ACTION,53.07542828723862,0
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,0,0.005622855426738722,0.5622855426738722,NO ACTION,28.11427713369361,0
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,0,0.012709366695373337,1.2709366695373336,NO ACTION,63.54683347686668,0
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,0,0.06401063583678396,6.401063583678396,NO ACTION,320.0531791839198,0
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,0,0.0891832315176643,8.91832315176643,NO ACTION,445.9161575883215,0
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,0,0.005427597661330974,0.5427597661330974,NO ACTION,27.13798830665487,0
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,0,0.02080445275919337,2.080445275919337,NO ACTION,104.02226379596685,0
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,0,0.06633170313098012,6.633170313098012,NO ACTION,331.6585156549006,0
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,0,0.0815034400727572,8.15034400727572,NO ACTION,407.517200363786,0
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,0,0.06515257352033317,6.515257352033317,NO ACTION,325.76286760166585,0
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,0,0.00510712764654125,0.510712764654125,NO ACTION,25.535638232706248,0
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,0,0.006013094897630491,0.6013094897630491,NO ACTION,30.065474488152454,0
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,0,0.013050729780217271,1.3050729780217272,NO ACTION,65.25364890108635,0
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,0,0.08337424595212423,8.337424595212422,NO ACTION,416.87122976062113,0
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,0,0.00869600353201978,0.8696003532019779,NO ACTION,43.4800176600989,0
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,0,0.0030121038548251815,0.30121038548251816,NO ACTION,15.060519274125907,0
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,0,0.018684049451932475,1.8684049451932476,NO ACTION,93.42024725966237,0
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,0,0.018242863797190957,1.8242863797190958,NO ACTION,91.21431898595479,0
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,0,0.03443708957023599,3.4437089570235986,NO ACTION,172.18544785117993,0
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,0,0.012582001221808891,1.2582001221808892,NO ACTION,62.91000610904446,0
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,0,0.015525215721755414,1.5525215721755414,NO ACTION,77.62607860877708,0
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,0,0.006932164237277298,0.6932164237277297,NO ACTION,34.66082118638649,0
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,0,0.06831660648064009,6.831660648064009,NO ACTION,341.58303240320043,0
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,0,0.032864652058098166,3.2864652058098165,NO ACTION,164.32326029049082,0
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,0,0.010962567389456793,1.0962567389456792,NO ACTION,54.81283694728396,0
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,0,0.023139591825189768,2.313959182518977,NO ACTION,115.69795912594884,0
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,0,0.11847866294765232,11.847866294765232,NO ACTION,592.3933147382616,0
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,0,0.05032828063780675,5.032828063780674,NO ACTION,251.64140318903375,0
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,0,0.02679225750352885,2.679225750352885,NO ACTION,133.96128751764425,0
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,0,0.12437926930856831,12.43792693085683,NO ACTION,621.8963465428416,0
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,1,0.4204136116213773,42.04136116213773,SCHEDULE MAINTENANCE,2102.0680581068864,0
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,1,0.24809986483027163,24.809986483027163,NO ACTION,1240.4993241513582,0
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,0,0.0013464173135604004,0.13464173135604005,NO ACTION,6.7320865678020025,0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,0,0.0034733480215617487,0.34733480215617485,NO ACTION,17.366740107808745,0
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,0,0.002467107897260078,0.2467107897260078,NO ACTION,12.335539486300389,0
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,0,0.0005301994463054529,0.05301994463054528,NO ACTION,2.6509972315272643,0
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,0,0.0009248840852218661,0.09248840852218661,NO ACTION,4.624420426109331,0
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,0,0.0026273389972314466,0.26273389972314465,NO ACTION,13.136694986157233,0
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,1,0.30245952853126823,30.245952853126823,NO ACTION,1512.2976426563412,0
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,0,0.047507339733973884,4.750733973397389,NO ACTION,237.53669866986942,0
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,0,0.0020980483828631786,0.20980483828631785,NO ACTION,10.490241914315893,0
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,0,0.027902657398372468,2.790265739837247,NO ACTION,139.51328699186234,0
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,0,0.001531714253995206,0.15317142539952058,NO ACTION,7.658571269976029,0
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,0,0.0013379247747180448,0.13379247747180448,NO ACTION,6.689623873590224,0
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,0,0.0404678722927983,4.04678722927983,NO ACTION,202.3393614639915,0
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,0,0.0017722814900087978,0.17722814900087977,NO ACTION,8.86140745004399,0
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,0,0.0023965607086307494,0.23965607086307494,NO ACTION,11.982803543153747,0
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,0,0.003964349619726558,0.3964349619726558,NO ACTION,19.821748098632792,0
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,0,0.020010904311660846,2.0010904311660846,NO ACTION,100.05452155830423,0
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,0,0.0037963016148816666,0.37963016148816664,NO ACTION,18.98150807440833,0
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,0,0.02747241892440671,2.747241892440671,NO ACTION,137.36209462203354,0
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,0,0.0013412245637750859,0.13412245637750858,NO ACTION,6.706122818875429,0
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,0,0.004169009851540716,0.4169009851540716,NO ACTION,20.84504925770358,0
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,0,0.002910792065515822,0.2910792065515822,NO ACTION,14.55396032757911,0
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,0,0.0016189255992298621,0.1618925599229862,NO ACTION,8.094627996149311,0
